Cartridge Lot Number,SARS-CoV-2 Standard Curve ID,Flu A 1 Standard Curve ID,Flu A 2 Standard Curve ID,Flu B Standard Curve ID,RSV Standard Curve ID
2009,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
2024,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
2102,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
2112,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
2119,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
2201,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
2409,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
2410,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
2418,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
3628,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
3723,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
3727,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
4513,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
4514,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
4534,GX23-0002_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
4702,GX23-0001_SARS_COV_2,GX23-0001_FluA1,GX23-0001_FluA2,GX23-0001_FluB,GX23-0001_RSV
